page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
  35     0 image    2048  1506  icc     3   8  image  no       100  0   288   287  259K 2.9%
  35     1 smask    2048  1506  gray    1   8  image  no       100  0   288   287 61.7K 2.0%
  39     2 image    1374   488  icc     3   8  image  no       111  0   211   212  285K  14%
  39     3 image    2048   471  icc     3   8  image  no       112  0   315   314 74.9K 2.7%
  40     4 image    1196  1218  icc     3   8  image  no       118  0   184   184  174K 4.1%
  41     5 image    1300   564  icc     3   8  image  no       122  0   200   200 53.1K 2.5%
  42     6 image    1772   418  icc     3   8  image  no       133  0   273   273 72.5K 3.3%
  42     7 image    1768   820  icc     3   8  image  no       134  0   272   272  144K 3.4%
  42     8 image    1756   420  icc     3   8  image  no       135  0   270   271 69.9K 3.2%
  43     9 image    1800   680  icc     3   8  image  no       138  0   277   277 93.9K 2.6%
  43    10 image    1720   426  icc     3   8  image  no       139  0   265   264 39.0K 1.8%
  44    11 image    1780   226  icc     3   8  image  no       145  0   274   275 31.8K 2.7%
  44    12 image    1762   230  icc     3   8  image  no       146  0   271   273 32.3K 2.7%
  44    13 image    1810   690  icc     3   8  image  no       147  0   278   279  100K 2.7%
  45    14 image    1662   546  icc     3   8  image  no       150  0   256   256 49.9K 1.9%
  45    15 image    1574   260  icc     3   8  image  no       151  0   242   242 39.8K 3.3%
  46    16 image    1572   272  icc     3   8  image  no       159  0   242   242 39.9K 3.2%
  46    17 image    1568   268  icc     3   8  image  no       160  0   241   240 42.5K 3.5%
  46    18 image    1798   540  icc     3   8  image  no       161  0   277   276 72.3K 2.5%
  46    19 image    1472   460  icc     3   8  image  no       162  0   226   226 42.7K 2.2%
  47    20 image    1576   448  icc     3   8  image  no       165  0   242   243 71.6K 3.5%
  47    21 image    1572   242  icc     3   8  image  no       166  0   242   242 36.1K 3.2%
  48    22 image    1326   514  icc     3   8  image  no       173  0   204   205  317K  16%
  48    23 image    1640   690  icc     3   8  image  no       174  0   252   252 72.5K 2.2%
  49    24 image    1754   414  icc     3   8  image  no       181  0   270   270 72.5K 3.4%
  50    25 image    1784   820  icc     3   8  image  no       188  0   274   274  145K 3.4%
  50    26 image    1762   422  icc     3   8  image  no       189  0   271   272 70.4K 3.2%
  50    27 image    1394   418  icc     3   8  image  no       190  0   214   215 67.8K 4.0%
  51    28 image    1798   640  icc     3   8  image  no       193  0   277   276 92.6K 2.7%
  51    29 image    1306   538  icc     3   8  image  no       194  0   201   201 54.0K 2.6%
  52    30 image    1878   440  icc     3   8  image  no       202  0   289   287  102K 4.2%
  53    31 image    1888   874  icc     3   8  image  no       208  0   290   290  209K 4.3%
  53    32 image    1886   434  icc     3   8  image  no       209  0   290   289 96.7K 4.0%
  53    33 image    1796   636  icc     3   8  image  no       210  0   276   276 90.4K 2.7%
  54    34 image    1478   492  icc     3   8  image  no       213  0   227   227 52.4K 2.5%
  55    35 image    1884   404  icc     3   8  image  no       223  0   290   292 90.0K 4.0%
  55    36 image    1880   400  icc     3   8  image  no       224  0   289   289 91.0K 4.1%
  55    37 image    1876   394  icc     3   8  image  no       225  0   289   289 92.8K 4.3%
  55    38 image    1868   394  icc     3   8  image  no       226  0   287   287 85.6K 4.0%
  56    39 image    1600   668  icc     3   8  image  no       229  0   246   247 71.0K 2.3%
  57    40 image    1870   440  icc     3   8  image  no       240  0   288   287  101K 4.2%
  57    41 image    1866   868  icc     3   8  image  no       241  0   287   286  209K 4.4%
  57    42 image    1870   448  icc     3   8  image  no       242  0   288   289 96.0K 3.9%
  58    43 image    1798   634  icc     3   8  image  no       245  0   277   277 91.7K 2.7%
  58    44 image    1608   642  icc     3   8  image  no       246  0   247   248 70.4K 2.3%
  59    45 image    1880   432  icc     3   8  image  no       252  0   289   288  102K 4.3%
  60    46 image    1884   868  icc     3   8  image  no       260  0   290   289  209K 4.4%
  60    47 image    1890   438  icc     3   8  image  no       261  0   291   292 96.0K 4.0%
  61    48 image    1804   636  icc     3   8  image  no       264  0   278   278 93.8K 2.8%
  61    49 image    1616   658  icc     3   8  image  no       265  0   249   248 70.6K 2.3%
  62    50 image    1888   438  icc     3   8  image  no       272  0   290   290  102K 4.2%
  63    51 image    1878   866  icc     3   8  image  no       279  0   289   289  210K 4.4%
  63    52 image    1888   442  icc     3   8  image  no       280  0   290   289 95.7K 3.9%
  64    53 image    1798   678  icc     3   8  image  no       283  0   277   277 96.8K 2.7%
  64    54 image    1702   522  icc     3   8  image  no       284  0   262   261 54.7K 2.1%
  65    55 image    1882   340  icc     3   8  image  no       291  0   290   289 63.0K 3.4%
  65    56 image    1882   320  icc     3   8  image  no       292  0   290   287 62.2K 3.5%
  66    57 image    1874   618  icc     3   8  image  no       296  0   288   289  121K 3.6%
  66    58 image    1872   618  icc     3   8  image  no       297  0   288   287  117K 3.4%
  66    59 image    1858   308  icc     3   8  image  no       298  0   286   284 56.0K 3.3%
  67    60 image    1438   426  icc     3   8  image  no       301  0   221   221 46.4K 2.6%
  68    61 image    1188  1170  icc     3   8  image  no       309  0   183   183  196K 4.8%
  69    62 image    1180  1164  icc     3   8  image  no       312  0   182   181  200K 5.0%
  69    63 image    1182   212  icc     3   8  image  no       313  0   182   182 31.6K 4.3%
